File,Type,OrigSize,CompSize,Ratio%,EncTime(ms),DecTime(ms),Correct,ShannonEntropy,MaxEntropy,RepetitionFactor
data/sensor/wind_direction.csv_1,LZW,364,303,83.24,0.018,0.008,true,4.6332,5.4594,0.1215
data/sensor/wind_direction.csv_2,LZW,60,36,60.00,0.008,0.001,true,2.0502,3.3219,0.5690
data/sensor/wind_direction.csv_3,LZW,205,106,51.71,0.003,0.003,true,2.7769,3.9069,0.6207
data/sensor/wind_direction.csv_4,LZW,204,114,55.88,0.004,0.005,true,3.0553,3.9069,0.5495
data/sensor/wind_direction.csv_5,LZW,210,116,55.24,0.004,0.003,true,3.0506,3.9069,0.5577
data/sensor/wind_direction.csv_6,LZW,210,122,58.10,0.004,0.002,true,3.0848,3.9069,0.5337
data/sensor/wind_direction.csv_7,LZW,210,126,60.00,0.005,0.004,true,3.1681,3.9069,0.5144
data/sensor/wind_direction.csv_8,LZW,210,126,60.00,0.006,0.003,true,3.1866,3.9069,0.5096
data/sensor/wind_direction.csv_9,LZW,210,120,57.14,0.006,0.002,true,3.1418,3.9069,0.5337
data/sensor/wind_direction.csv_10,LZW,210,128,60.95,0.006,0.003,true,3.1561,3.9069,0.5048
data/sensor/wind_direction.csv_11,LZW,213,123,57.75,0.044,0.003,true,3.0839,3.9069,0.5071
data/sensor/wind_direction.csv_12,LZW,214,123,57.48,0.033,0.003,true,3.1115,3.9069,0.5330
data/sensor/wind_direction.csv_13,LZW,214,123,57.48,0.032,0.009,true,3.1497,3.9069,0.5189
data/sensor/wind_direction.csv_14,LZW,215,130,60.47,0.036,0.007,true,3.2049,3.9069,0.5117
data/sensor/wind_direction.csv_15,LZW,215,125,58.14,0.029,0.010,true,3.2159,3.9069,0.5211
data/sensor/wind_direction.csv_16,LZW,215,124,57.67,0.029,0.015,true,3.1742,3.9069,0.5117
data/sensor/wind_direction.csv_17,LZW,215,129,60.00,0.029,0.014,true,3.1936,3.9069,0.5117
data/sensor/wind_direction.csv_18,LZW,215,132,61.40,0.028,0.007,true,3.1742,3.9069,0.4930
data/sensor/wind_direction.csv_19,LZW,215,124,57.67,0.033,0.013,true,3.0696,3.9069,0.5164
data/sensor/wind_direction.csv_20,LZW,215,124,57.67,0.035,0.008,true,3.1420,3.9069,0.5023
data/sensor/wind_direction.csv_21,LZW,215,125,58.14,0.161,0.008,true,3.1564,3.9069,0.5117
data/sensor/wind_direction.csv_22,LZW,214,126,58.88,0.083,0.010,true,3.1951,3.9069,0.5189
data/sensor/wind_direction.csv_23,LZW,214,125,58.41,0.028,0.007,true,3.2058,3.9069,0.5283
data/sensor/wind_direction.csv_24,LZW,214,129,60.28,0.028,0.008,true,3.1961,3.9069,0.5047
data/sensor/wind_direction.csv_25,LZW,214,125,58.41,0.028,0.012,true,3.1621,3.9069,0.5472
data/sensor/wind_direction.csv_26,LZW,214,123,57.48,0.034,0.008,true,3.1126,3.9069,0.5283
data/sensor/wind_direction.csv_27,LZW,212,122,57.55,0.033,0.007,true,3.0920,3.9069,0.5333
data/sensor/wind_direction.csv_28,LZW,213,114,53.52,0.032,0.009,true,2.8756,3.9069,0.6114
data/sensor/wind_direction.csv_29,LZW,214,105,49.07,0.030,0.008,true,2.8547,3.9069,0.6509
data/sensor/wind_direction.csv_30,LZW,219,122,55.71,0.105,0.008,true,3.0273,3.9069,0.5253
data/sensor/wind_direction.csv_31,LZW,212,120,56.60,0.031,1.289,true,3.0841,3.9069,0.5429
data/sensor/wind_direction.csv_32,LZW,211,111,52.61,0.044,0.008,true,2.8169,3.9069,0.6459
data/sensor/wind_direction.csv_33,LZW,218,122,55.96,0.051,0.010,true,3.0674,3.9069,0.5602
data/sensor/wind_direction.csv_34,LZW,219,125,57.08,0.482,0.011,true,3.0559,3.9069,0.5484
data/sensor/wind_direction.csv_35,LZW,219,121,55.25,0.010,0.009,true,3.0948,3.9069,0.5622
data/sensor/wind_direction.csv_36,LZW,215,111,51.63,0.008,0.007,true,2.9496,3.9069,0.6103
data/sensor/wind_direction.csv_37,LZW,218,116,53.21,0.008,0.005,true,2.8911,3.8074,0.6250
data/sensor/wind_direction.csv_38,LZW,221,116,52.49,0.009,0.004,true,2.8754,3.8074,0.6119
data/sensor/wind_direction.csv_39,LZW,221,117,52.94,0.009,0.004,true,2.9273,3.9069,0.6301
data/sensor/wind_direction.csv_40,LZW,220,116,52.73,0.008,0.004,true,2.9607,3.9069,0.6239
data/sensor/wind_direction.csv_41,LZW,217,106,48.85,0.009,0.006,true,2.8826,3.9069,0.6837
data/sensor/wind_direction.csv_42,LZW,215,112,52.09,0.008,0.004,true,2.9370,3.9069,0.5869
data/sensor/wind_direction.csv_43,LZW,219,113,51.60,0.009,0.004,true,2.8948,3.9069,0.6452
data/sensor/wind_direction.csv_44,LZW,213,113,53.05,0.008,0.004,true,2.8492,3.9069,0.6445
data/sensor/wind_direction.csv_45,LZW,211,113,53.55,0.009,0.004,true,2.8129,3.9069,0.5933
data/sensor/wind_direction.csv_46,LZW,209,111,53.11,0.008,0.005,true,2.8547,3.9069,0.6087
data/sensor/wind_direction.csv_47,LZW,212,114,53.77,0.012,0.004,true,2.8662,3.9069,0.6143
data/sensor/wind_direction.csv_48,LZW,216,108,50.00,0.012,0.004,true,2.8583,3.9069,0.6542
data/sensor/wind_direction.csv_49,LZW,212,117,55.19,0.016,0.011,true,3.0017,3.9069,0.5857
data/sensor/wind_direction.csv_50,LZW,216,116,53.70,0.011,0.007,true,2.9409,3.9069,0.5841
data/sensor/wind_direction.csv_51,LZW,213,113,53.05,0.013,0.007,true,2.8531,3.9069,0.6351
data/sensor/wind_direction.csv_52,LZW,217,114,52.53,0.012,0.009,true,2.8346,3.9069,0.6279
data/sensor/wind_direction.csv_53,LZW,219,126,57.53,0.012,0.007,true,3.0523,3.9069,0.5530
data/sensor/wind_direction.csv_54,LZW,219,125,57.08,0.015,0.007,true,3.0871,3.9069,0.5530
data/sensor/wind_direction.csv_55,LZW,212,116,54.72,0.009,0.008,true,2.9178,3.9069,0.5857
data/sensor/wind_direction.csv_56,LZW,219,113,51.60,0.013,0.007,true,2.8666,3.9069,0.6175
data/sensor/wind_direction.csv_57,LZW,213,108,50.70,0.015,0.007,true,2.8320,3.8074,0.6445
data/sensor/wind_direction.csv_58,LZW,211,107,50.71,0.010,0.008,true,2.7627,3.9069,0.6651
data/sensor/wind_direction.csv_59,LZW,219,115,52.51,0.015,0.008,true,2.8879,3.9069,0.6037
data/sensor/wind_direction.csv_60,LZW,223,119,53.36,0.014,0.008,true,3.0709,3.9069,0.5837
data/sensor/wind_direction.csv_61,LZW,213,108,50.70,0.019,0.023,true,2.7527,3.9069,0.6398
data/sensor/wind_direction.csv_62,LZW,211,110,52.13,0.015,0.007,true,2.7439,3.9069,0.6459
data/sensor/wind_direction.csv_63,LZW,211,106,50.24,0.014,0.012,true,2.7410,3.9069,0.6555
data/sensor/wind_direction.csv_64,LZW,213,108,50.70,0.011,0.007,true,2.7468,3.9069,0.6445
data/sensor/wind_direction.csv_65,LZW,205,102,49.76,0.018,0.009,true,2.6766,3.8074,0.6700
data/sensor/wind_direction.csv_66,LZW,204,101,49.51,0.085,0.011,true,2.6494,3.9069,0.6782
data/sensor/wind_direction.csv_67,LZW,198,97,48.99,0.024,0.007,true,2.5913,3.8074,0.6633
data/sensor/wind_direction.csv_68,LZW,206,106,51.46,0.017,0.006,true,2.7292,3.8074,0.6814
data/sensor/wind_direction.csv_69,LZW,203,110,54.19,0.010,0.008,true,2.8370,3.9069,0.5771
data/sensor/wind_direction.csv_70,LZW,196,97,49.49,0.010,0.004,true,2.6572,3.8074,0.6598
data/sensor/wind_direction.csv_71,LZW,211,113,53.55,0.011,0.004,true,2.9000,3.9069,0.6029
data/sensor/wind_direction.csv_72,LZW,201,104,51.74,0.010,0.005,true,2.7310,3.9069,0.6332
data/sensor/wind_direction.csv_73,LZW,209,110,52.63,0.011,0.005,true,2.8319,3.9069,0.6377
